Entertainer,Gender (traditional),Year of Last Major Work (arguable),Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Death,Birth Year,Award Won from Breakthrough,Total Awards won,Total Nominees,Profession,Oscar Won,Grammy Won,Emmy Won,Other Awards 
Adele,F,2016,2008,19,2009,,1988,Grammy,32,64,Singer,1,15,0,16
Angelina Jolie,F,2016,1999,"Girl, Interrupted",1999,,1975,Oscar,58,174,Actor,1,0,0,57
Aretha Franklin,F,2014,1967,I Never Loved a Man (The Way I Love You),1968,,1942,No Award,29,67,Singer,0,20,0,9
Bette Davis,F,1989,1934,Of Human Bondage,1935,1989,1908,No Award,34,57,Actor,2,0,1,31
Betty White,F,2016,1952,Life with Elilzabeth,1976,,1922,Emmy,39,79,Actor,0,2,5,32
Bing Crosby,M,1974,1931,Several Songs,1962,1977,1903,Grammy,18,27,Singer,1,1,0,16
Bob Hope,M,1972,1938,The Big Broadcast of 1938,1940,2003,1903,No Award,39,49,Actor,0,0,1,38
Carol Burnett,F,2016,1959,The Garry Moore Show,1962,,1933,Emmy,49,99,Actor,0,1,6,42
Carole Lombard,F,1942,1934,Twentieth Century,,1942,1908,No Award,1,2,Actor,0,0,0,1
Carrie Fisher,F,2016,1977,Star Wars,,2016,1956,Other,7,27,Actor,0,1,0,6
Cary Grant,M,1966,1933,"She Done Him Wrong, I'm No Angel",1970,1986,1904,No Award,12,34,Actor,0,0,0,12
Charlie Chaplin,M,1967,1915,The Tramp,1929,1977,1889,No Award,24,34,Actor,1,0,0,23
Clara Bow,F,1933,1926,Mantrap,,1965,1905,No Award,1,1,Actor,0,0,0,1
Clark Gable,M,1960,1934,It Happened One Night,1934,1960,1901,Oscar,4,10,Actor,1,0,0,3
David Letterman,M,2015,1982,Late Night with David Letterman,1981,,1947,Emmy,20,98,Actor,0,0,7,13
Debbie Reynolds,F,2006,1952,Singin' in the Rain,,2016,1932,Other,20,57,Actor,0,0,0,20
Denzel Washington,M,2016,1989,Glory,1989,,1954,Oscar,86,273,Actor,2,0,0,84
Dick Van Dyke,M,2015,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,,1925,Emmy,21,41,Actor,0,1,5,m
Donald Sutherland,M,2016,1967,The Dirty Dozen,1995,,1935,No Award,22,53,Actor,0,0,1,21
Dustin Hoffman,M,2016,1967,The Graduate,1980,,1937,Other,63,117,Actor,2,0,2,59
Ed Sullivan,M,1973,1948,Toast of the Town,1956,1974,1901,Other,3,3,Actor,0,0,0,3
Eddie Murphy,M,2016,1980,Saturday Night Live,2001,,1961,Emmy,43,144,Actor,0,1,1,41
Elton John,M,2016,1972,Honky Chateau,1987,,1947,No Award,27,99,Singer,2,6,0,19
Elvis Presley,M,1977,1956,Heartbreak Hotel,1959,1977,1935,No Award,12,29,Singer,0,5,0,7
Frank Sinatra,M,1980,1940,I'll Never Smile Again,1946,1998,1915,No Award,34,76,Singer,1,12,0,21
Gene Hackman,M,2004,1967,Bonnie and Clyde,1971,,1930,Other,33,72,Actor,2,0,0,31
George Michael,M,2004,1984,Wake Me Up Before You Go-Go,1988,2016,1963,No Award,6,23,Singer,0,2,0,4
Gregory Peck,M,1991,1944,The Keys of the Kingdom,1962,2003,1916,No Award,36,59,Actor,1,0,0,35
Greta Garbo,F,1941,1930,Anna Christie,1954,1990,1905,Other,11,17,Actor,0,0,0,11
Humphrey Bogart,M,1956,1936,The Petrified Forest,1951,1957,1899,No Award,6,19,Actor,1,0,0,5
James Dean,M,1955,1953,East of Eden,1955,1955,1931,Other,7,11,Actor,0,0,0,7
Jay Leno,M,2014,1992,The Tonight Show,1995,,1950,Emmy,6,33,Actor,0,0,2,4
Jennifer Aniston,F,2016,1994,Friends,2002,,1969,Emmy,43,135,Actor,0,0,1,42
Jerry Seinfeld,M,2016,1988,Seinfeld,1992,,1954,Emmy,20,67,Actor,0,0,1,19
Jimmy Page,M,2016,1969,Led Zeppelin 2,1999,,1944,No Award,3,7,Singer,0,2,0,1
Jimmy Stewart,M,1980,1938,You Can't Take it With You,1941,1997,1908,No Award,31,53,Actor,1,0,0,30
Joan Crawford,F,1970,1928,Our Dancing Daughters,1946,1977,1904,No Award,12,20,Actor,1,0,0,11
John Lennon,M,1980,1963,I Want to Hold Your Hand,1965,1980,1940,Other,22,55,Singer,1,8,0,13
John Wayne,M,1976,1939,Stagecoach,1970,1979,1907,No Award,27,45,Actor,1,0,0,26
Johnny Carson,M,1992,1962,The Tonight Show Starring Johnny Carson,1976,2005,1925,Emmy,16,29,Actor,0,0,5,11
Johnny Depp,M,2016,1987,21 Jump Street,,,1963,No Award,73,232,Actor,0,0,0,73
Justin Timberlake,M,2016,2000,No Strings Attached,2004,,1981,No Award,55,185,Singer,0,10,4,41
Katherine Hepburn,F,1994,1933,Morning Glory,1933,2003,1907,Oscar,28,65,Actor,4,0,1,23
Keifer Sutherland,M,2016,2001,24,2006,,1966,Emmy,21,82,Actor,0,0,1,20
Kirk Douglas,M,2004,1949,Champion,1996,,1916,No Award,34,59,Actor,0,0,0,34
Lady Gaga,F,2016,2008,The Fame,2010,,1986,Other,68,239,Singer,1,12,0,55
Leonard Bernstein,M,1989,1957,West Side Story,1962,1990,1918,No Award,55,82,Singer,0,17,7,31
Leonardo DiCaprio,M,2016,1997,Titanic,2016,,1974,Other,101,355,Actor,1,0,0,100
Louis Armstrong,M,1970,1964,"Hello, Dolly!",1993,1971,1901,Grammy,2,4,Singer,0,2,0,0
Madonna,F,2015,1984,Like A Virgin,1992,,1958,No Award,49,158,Singer,0,6,0,43
Mariah Carey,F,2014,1990,Mariah Carey,1991,,1969,Other,75,208,Singer,0,6,0,69
Marlon Brando,M,2001,1951,Streetcar Named Desire,1953,2004,1924,Other,34,70,Actor,2,0,1,31
Mary Tyler Moore,F,2013,1961,The Dick Van Dyke Show,1964,,1936,Emmy,30,60,Actor,0,0,7,23
Meryl Streep,F,2016,1978,The Deer Hunter,1980,,1949,Other,177,540,Actor,3,0,3,171
Mick Jagger,M,2016,1965,(I Can't Get No) Satisfaction,1987,,1943,No Award,10,15,Singer,0,0,0,10
Morgan Freeman,M,2016,1989,Driving Miss Daisy and Glory,2005,,1937,Other,65,147,Actor,1,0,0,64
Oprah Winfrey,F,2016,1985,The Color Purple,1987,,1954,No Award,53,145,Actor,0,0,18,35
Paul McCartney,M,2016,1963,I Want to Hold Your Hand,1965,,1942,Other,31,118,Singer,1,14,0,16
Paul Newman,M,2005,1958,Cat on a Hot Tin Roof,1986,2008,1925,No Award,38,108,Actor,1,0,1,36
Peter O'Toole,M,2013,1962,Lawrence of Arabia,2002,2013,1932,Other,28,76,Actor,0,0,1,27
Prince,M,2016,1979,Prince,1984,2016,1958,Other,26,100,Singer,1,7,0,18
Robert Redford,M,2016,1969,Butch Cassidy and the Sundance Kid,1980,,1936,Other,43,98,Actor,1,0,0,42
Sidney Poitier,M,2008,1955,Blackboard Jungle,1964,,1927,No Award,28,69,Actor,1,1,0,26
Sly Stone,M,1971,1968,Everyday People,2017,,1943,No Award,1,1,Singer,0,1,0,0
Stevie Wonder,M,2005,1963,Fingertips,1973,,1950,No Award,37,99,Singer,1,24,0,12
Tom Hanks,M,2016,1984,Splash,1993,,1956,No Award,91,290,Actor,2,0,7,82
Tony Bennett,M,2016,1951,Because of You,1963,,1926,No Award,24,55,Singer,0,20,2,2
Wayne Newton,M,2016,1972,"Daddy, Don't You Walk So Fast",,,1942,No Award,1,4,Actor,0,0,0,1
Will Smith,M,2016,1990,The Fresh Prince of Bel-Air,1988,,1968,No Award,70,231,Actor,0,4,0,66
Willie Nelson,M,2016,1975,Red Headed Stranger,1976,,1933,No Award,24,50,Singer,0,15,0,9
